id,language,snippet,description
75,Go,"http.HandleFunc(""/"", func(w http.ResponseWriter, r *http.Request) {
    fmt.Fprintln(w, ""Hello"")
})",Basic HTTP handler in Go
76,Ruby,3.times { |i| puts i },times iterator in Ruby
77,Ruby,"gem 'rails', '~>6.1'",Specify Rails version in Gemfile
78,Kotlin,"data class User(val id: Int, val name: String)",Data class in Kotlin
79,Kotlin,"println(""Hello ${name}"")",String template in Kotlin
80,Shell,chmod +x script.sh,Make shell script executable
81,Julia,squares = [x^2 for x in 1:10],List comprehension in Julia
82,Julia,"using DataFrames
df = DataFrame(A=1:4, B=4:-1:1)",Create DataFrame in Julia
83,Elm,sumList xs = List.foldl (+) 0 xs,Sum list with foldl in Elm
84,Elm,"import Browser
main = Browser.sandbox { init = model, update = update, view = view }",Simple Elm Browser app
85,Prolog,"member(X, [X|_]).
member(X, [_|T]) :- member(X, T).",Define member predicate in Prolog
86,Lisp,(defun square (x) (* x x)),Define function in Common Lisp
87,Clojure,(map #(* % %) [1 2 3]),Map anonymous function in Clojure
88,OCaml,let rec factorial n = if n <= 1 then 1 else n * factorial (n-1),Recursive factorial in OCaml
89,Fortran,"program hello
 print *, 'Hello, world!'
end program hello",Hello world in Fortran
90,COBOL,"IDENTIFICATION DIVISION.
PROGRAM-ID. Hello.
PROCEDURE DIVISION.
DISPLAY 'Hello, world!'.",Hello world in COBOL
91,GLSL,"void main() {
 gl_FragColor = vec4(1.0);
}",Basic fragment shader in GLSL
92,Terraform,"resource ""aws_s3_bucket"" ""b"" {
  bucket = ""my-bucket""
}",Terraform AWS S3 bucket resource
93,GraphQL,type Query { hello: String },GraphQL schema definition
94,Dockerfile,EXPOSE 8080,Expose port in Dockerfile
95,Makefile,"clean:
	rm -f *.o main",Makefile clean target
96,Shell,rsync -avz source/ dest/,Use rsync for syncing directories
97,PowerShell,New-Item -Path 'test.txt' -ItemType File,Create file in PowerShell
98,SQL,CREATE INDEX idx_name ON table(column);,Create index in SQL
99,JSON,"""dependencies"": { ""express"": ""^4.17.1"" }",Package.json dependency entry
100,YAML,"version: '3'
services:
  app:
    image: myapp",Docker Compose YAML
