id,language,snippet,description
79,TypeScript,"// Example 79: generate random numbers in TypeScript
// code placeholder",Auto-generated snippet 79 demonstrating how to generate random numbers in TypeScript
80,Haskell,"// Example 80: send HTTP request in Haskell
// code placeholder",Auto-generated snippet 80 demonstrating how to send HTTP request in Haskell
81,PowerShell,"// Example 81: define a function in PowerShell
// code placeholder",Auto-generated snippet 81 demonstrating how to define a function in PowerShell
82,Perl,"// Example 82: use regex in Perl
// code placeholder",Auto-generated snippet 82 demonstrating how to use regex in Perl
83,C#,"// Example 83: convert a type in C#
// code placeholder",Auto-generated snippet 83 demonstrating how to convert a type in C#
84,YAML,"// Example 84: write to a file in YAML
// code placeholder",Auto-generated snippet 84 demonstrating how to write to a file in YAML
85,Julia,"// Example 85: convert a type in Julia
// code placeholder",Auto-generated snippet 85 demonstrating how to convert a type in Julia
86,Rust,"// Example 86: serialize to XML
println!(""Example 86"");",Auto-generated snippet 86 demonstrating how to serialize to XML in Rust
87,Go,"// Example 87: parse JSON
fmt.Println(""Example 87"")",Auto-generated snippet 87 demonstrating how to parse JSON in Go
88,Bash,"// Example 88: log an error in Bash
// code placeholder",Auto-generated snippet 88 demonstrating how to log an error in Bash
89,Scala,"// Example 89: sort a list in Scala
// code placeholder",Auto-generated snippet 89 demonstrating how to sort a list in Scala
90,Julia,"// Example 90: use regex in Julia
// code placeholder",Auto-generated snippet 90 demonstrating how to use regex in Julia
91,TypeScript,"// Example 91: read a file in TypeScript
// code placeholder",Auto-generated snippet 91 demonstrating how to read a file in TypeScript
92,R,"// Example 92: log an error in R
// code placeholder",Auto-generated snippet 92 demonstrating how to log an error in R
93,C#,"// Example 93: use regex in C#
// code placeholder",Auto-generated snippet 93 demonstrating how to use regex in C#
94,CSS,"// Example 94: iterate over a list in CSS
// code placeholder",Auto-generated snippet 94 demonstrating how to iterate over a list in CSS
95,Kotlin,"// Example 95: handle exception
println(""Example 95"")",Auto-generated snippet 95 demonstrating how to handle exception in Kotlin
96,MATLAB,"// Example 96: compute factorial in MATLAB
// code placeholder",Auto-generated snippet 96 demonstrating how to compute factorial in MATLAB
97,Clojure,"// Example 97: format a string in Clojure
// code placeholder",Auto-generated snippet 97 demonstrating how to format a string in Clojure
98,Python,"# Example 98: define a function
print('Example 98')",Auto-generated snippet 98 demonstrating how to define a function in Python
99,Kotlin,"// Example 99: define a function
println(""Example 99"")",Auto-generated snippet 99 demonstrating how to define a function in Kotlin
100,C#,"// Example 100: handle exception in C#
// code placeholder",Auto-generated snippet 100 demonstrating how to handle exception in C#
101,Dockerfile,"// Example 101: compute factorial in Dockerfile
// code placeholder",Auto-generated snippet 101 demonstrating how to compute factorial in Dockerfile
102,Scala,"// Example 102: read a file in Scala
// code placeholder",Auto-generated snippet 102 demonstrating how to read a file in Scala
103,C++,"// Example 103: read a file
std::cout << ""Example 103"" << std::endl;",Auto-generated snippet 103 demonstrating how to read a file in C++
104,JSON,"// Example 104: read a file in JSON
// code placeholder",Auto-generated snippet 104 demonstrating how to read a file in JSON
105,Java,"// Example 105: perform HTTP POST
System.out.println(""Example 105"");",Auto-generated snippet 105 demonstrating how to perform HTTP POST in Java
106,PHP,"<?php
// Example 106: write to a file
echo 'Example 106';
?>",Auto-generated snippet 106 demonstrating how to write to a file in PHP
107,Bash,"// Example 107: convert a type in Bash
// code placeholder",Auto-generated snippet 107 demonstrating how to convert a type in Bash
108,Perl,"// Example 108: use recursion in Perl
// code placeholder",Auto-generated snippet 108 demonstrating how to use recursion in Perl
109,TypeScript,"// Example 109: sort a list in TypeScript
// code placeholder",Auto-generated snippet 109 demonstrating how to sort a list in TypeScript
110,Ruby,"# Example 110: compute factorial
puts 'Example 110'",Auto-generated snippet 110 demonstrating how to compute factorial in Ruby
111,Python,"# Example 111: send HTTP request
print('Example 111')",Auto-generated snippet 111 demonstrating how to send HTTP request in Python
112,Java,"// Example 112: log an error
System.out.println(""Example 112"");",Auto-generated snippet 112 demonstrating how to log an error in Java
113,Julia,"// Example 113: handle exception in Julia
// code placeholder",Auto-generated snippet 113 demonstrating how to handle exception in Julia
114,JavaScript,"// Example 114: parse JSON
console.log('Example 114');",Auto-generated snippet 114 demonstrating how to parse JSON in JavaScript
115,HTML,"// Example 115: connect to a database in HTML
// code placeholder",Auto-generated snippet 115 demonstrating how to connect to a database in HTML
116,Scala,"// Example 116: render HTML in Scala
// code placeholder",Auto-generated snippet 116 demonstrating how to render HTML in Scala
117,CSS,"// Example 117: create an array in CSS
// code placeholder",Auto-generated snippet 117 demonstrating how to create an array in CSS
118,C#,"// Example 118: render HTML in C#
// code placeholder",Auto-generated snippet 118 demonstrating how to render HTML in C#
119,PHP,"<?php
// Example 119: connect to a database
echo 'Example 119';
?>",Auto-generated snippet 119 demonstrating how to connect to a database in PHP
120,SQL,"// Example 120: render HTML in SQL
// code placeholder",Auto-generated snippet 120 demonstrating how to render HTML in SQL
121,PowerShell,"// Example 121: use recursion in PowerShell
// code placeholder",Auto-generated snippet 121 demonstrating how to use recursion in PowerShell
122,SQL,"// Example 122: format a string in SQL
// code placeholder",Auto-generated snippet 122 demonstrating how to format a string in SQL
123,C,"/* Example 123: perform HTTP POST */
printf(""Example 123\n"");",Auto-generated snippet 123 demonstrating how to perform HTTP POST in C
124,Go,"// Example 124: serialize to XML
fmt.Println(""Example 124"")",Auto-generated snippet 124 demonstrating how to serialize to XML in Go
125,R,"// Example 125: write to a file in R
// code placeholder",Auto-generated snippet 125 demonstrating how to write to a file in R
126,Swift,"// Example 126: use regex
print(""Example 126"")",Auto-generated snippet 126 demonstrating how to use regex in Swift
127,PHP,"<?php
// Example 127: send HTTP request
echo 'Example 127';
?>",Auto-generated snippet 127 demonstrating how to send HTTP request in PHP
128,PowerShell,"// Example 128: use regex in PowerShell
// code placeholder",Auto-generated snippet 128 demonstrating how to use regex in PowerShell
129,CSS,"// Example 129: serialize to XML in CSS
// code placeholder",Auto-generated snippet 129 demonstrating how to serialize to XML in CSS
130,CSS,"// Example 130: sort a list in CSS
// code placeholder",Auto-generated snippet 130 demonstrating how to sort a list in CSS
131,HTML,"// Example 131: define a function in HTML
// code placeholder",Auto-generated snippet 131 demonstrating how to define a function in HTML
132,Lua,"// Example 132: format a string in Lua
// code placeholder",Auto-generated snippet 132 demonstrating how to format a string in Lua
133,Julia,"// Example 133: compute factorial in Julia
// code placeholder",Auto-generated snippet 133 demonstrating how to compute factorial in Julia
134,Bash,"// Example 134: use regex in Bash
// code placeholder",Auto-generated snippet 134 demonstrating how to use regex in Bash
135,YAML,"// Example 135: convert a type in YAML
// code placeholder",Auto-generated snippet 135 demonstrating how to convert a type in YAML
136,JSON,"// Example 136: sort a list in JSON
// code placeholder",Auto-generated snippet 136 demonstrating how to sort a list in JSON
137,SQL,"// Example 137: iterate over a list in SQL
// code placeholder",Auto-generated snippet 137 demonstrating how to iterate over a list in SQL
138,YAML,"// Example 138: serialize to XML in YAML
// code placeholder",Auto-generated snippet 138 demonstrating how to serialize to XML in YAML
139,Go,"// Example 139: compute factorial
fmt.Println(""Example 139"")",Auto-generated snippet 139 demonstrating how to compute factorial in Go
140,Haskell,"// Example 140: format a string in Haskell
// code placeholder",Auto-generated snippet 140 demonstrating how to format a string in Haskell
141,C,"/* Example 141: handle exception */
printf(""Example 141\n"");",Auto-generated snippet 141 demonstrating how to handle exception in C
142,Java,"// Example 142: serialize to XML
System.out.println(""Example 142"");",Auto-generated snippet 142 demonstrating how to serialize to XML in Java
143,Lua,"// Example 143: parse JSON in Lua
// code placeholder",Auto-generated snippet 143 demonstrating how to parse JSON in Lua
144,Go,"// Example 144: send HTTP request
fmt.Println(""Example 144"")",Auto-generated snippet 144 demonstrating how to send HTTP request in Go
145,CSS,"// Example 145: convert a type in CSS
// code placeholder",Auto-generated snippet 145 demonstrating how to convert a type in CSS
146,Python,"# Example 146: serialize to XML
print('Example 146')",Auto-generated snippet 146 demonstrating how to serialize to XML in Python
147,Elixir,"// Example 147: define a function in Elixir
// code placeholder",Auto-generated snippet 147 demonstrating how to define a function in Elixir
148,MATLAB,"// Example 148: iterate over a list in MATLAB
// code placeholder",Auto-generated snippet 148 demonstrating how to iterate over a list in MATLAB
149,TypeScript,"// Example 149: define a function in TypeScript
// code placeholder",Auto-generated snippet 149 demonstrating how to define a function in TypeScript
150,Perl,"// Example 150: use recursion in Perl
// code placeholder",Auto-generated snippet 150 demonstrating how to use recursion in Perl
151,Go,"// Example 151: sort a list
fmt.Println(""Example 151"")",Auto-generated snippet 151 demonstrating how to sort a list in Go
152,Haskell,"// Example 152: convert a type in Haskell
// code placeholder",Auto-generated snippet 152 demonstrating how to convert a type in Haskell
153,CSS,"// Example 153: define a function in CSS
// code placeholder",Auto-generated snippet 153 demonstrating how to define a function in CSS
154,Scala,"// Example 154: parse JSON in Scala
// code placeholder",Auto-generated snippet 154 demonstrating how to parse JSON in Scala
155,JavaScript,"// Example 155: convert a type
console.log('Example 155');",Auto-generated snippet 155 demonstrating how to convert a type in JavaScript
156,Go,"// Example 156: generate random numbers
fmt.Println(""Example 156"")",Auto-generated snippet 156 demonstrating how to generate random numbers in Go
157,CSS,"// Example 157: convert a type in CSS
// code placeholder",Auto-generated snippet 157 demonstrating how to convert a type in CSS
158,PHP,"<?php
// Example 158: compute factorial
echo 'Example 158';
?>",Auto-generated snippet 158 demonstrating how to compute factorial in PHP
159,Lua,"// Example 159: handle exception in Lua
// code placeholder",Auto-generated snippet 159 demonstrating how to handle exception in Lua
160,Scala,"// Example 160: handle exception in Scala
// code placeholder",Auto-generated snippet 160 demonstrating how to handle exception in Scala
161,HTML,"// Example 161: format a string in HTML
// code placeholder",Auto-generated snippet 161 demonstrating how to format a string in HTML
162,Java,"// Example 162: generate random numbers
System.out.println(""Example 162"");",Auto-generated snippet 162 demonstrating how to generate random numbers in Java
163,HTML,"// Example 163: write to a file in HTML
// code placeholder",Auto-generated snippet 163 demonstrating how to write to a file in HTML
164,Haskell,"// Example 164: perform HTTP POST in Haskell
// code placeholder",Auto-generated snippet 164 demonstrating how to perform HTTP POST in Haskell
165,C#,"// Example 165: create an array in C#
// code placeholder",Auto-generated snippet 165 demonstrating how to create an array in C#
166,HTML,"// Example 166: write to a file in HTML
// code placeholder",Auto-generated snippet 166 demonstrating how to write to a file in HTML
167,Lua,"// Example 167: sort a list in Lua
// code placeholder",Auto-generated snippet 167 demonstrating how to sort a list in Lua
168,Haskell,"// Example 168: sort a list in Haskell
// code placeholder",Auto-generated snippet 168 demonstrating how to sort a list in Haskell
169,Swift,"// Example 169: iterate over a list
print(""Example 169"")",Auto-generated snippet 169 demonstrating how to iterate over a list in Swift
170,Scala,"// Example 170: connect to a database in Scala
// code placeholder",Auto-generated snippet 170 demonstrating how to connect to a database in Scala
171,JSON,"// Example 171: define a function in JSON
// code placeholder",Auto-generated snippet 171 demonstrating how to define a function in JSON
172,HTML,"// Example 172: compute factorial in HTML
// code placeholder",Auto-generated snippet 172 demonstrating how to compute factorial in HTML
173,C#,"// Example 173: use recursion in C#
// code placeholder",Auto-generated snippet 173 demonstrating how to use recursion in C#
174,Julia,"// Example 174: compute factorial in Julia
// code placeholder",Auto-generated snippet 174 demonstrating how to compute factorial in Julia
175,Go,"// Example 175: read a file
fmt.Println(""Example 175"")",Auto-generated snippet 175 demonstrating how to read a file in Go
176,Lua,"// Example 176: connect to a database in Lua
// code placeholder",Auto-generated snippet 176 demonstrating how to connect to a database in Lua
177,Kotlin,"// Example 177: generate random numbers
println(""Example 177"")",Auto-generated snippet 177 demonstrating how to generate random numbers in Kotlin
178,C#,"// Example 178: log an error in C#
// code placeholder",Auto-generated snippet 178 demonstrating how to log an error in C#
179,HTML,"// Example 179: use regex in HTML
// code placeholder",Auto-generated snippet 179 demonstrating how to use regex in HTML
180,JSON,"// Example 180: compute factorial in JSON
// code placeholder",Auto-generated snippet 180 demonstrating how to compute factorial in JSON
181,Go,"// Example 181: perform HTTP POST
fmt.Println(""Example 181"")",Auto-generated snippet 181 demonstrating how to perform HTTP POST in Go
182,YAML,"// Example 182: log an error in YAML
// code placeholder",Auto-generated snippet 182 demonstrating how to log an error in YAML
183,SQL,"// Example 183: compute factorial in SQL
// code placeholder",Auto-generated snippet 183 demonstrating how to compute factorial in SQL
184,C++,"// Example 184: compute factorial
std::cout << ""Example 184"" << std::endl;",Auto-generated snippet 184 demonstrating how to compute factorial in C++
185,SQL,"// Example 185: use regex in SQL
// code placeholder",Auto-generated snippet 185 demonstrating how to use regex in SQL
186,Lua,"// Example 186: convert a type in Lua
// code placeholder",Auto-generated snippet 186 demonstrating how to convert a type in Lua
187,Python,"# Example 187: use regex
print('Example 187')",Auto-generated snippet 187 demonstrating how to use regex in Python
188,C#,"// Example 188: perform HTTP POST in C#
// code placeholder",Auto-generated snippet 188 demonstrating how to perform HTTP POST in C#
189,YAML,"// Example 189: send HTTP request in YAML
// code placeholder",Auto-generated snippet 189 demonstrating how to send HTTP request in YAML
190,Python,"# Example 190: sort a list
print('Example 190')",Auto-generated snippet 190 demonstrating how to sort a list in Python
191,Dockerfile,"// Example 191: perform HTTP POST in Dockerfile
// code placeholder",Auto-generated snippet 191 demonstrating how to perform HTTP POST in Dockerfile
192,JavaScript,"// Example 192: perform HTTP POST
console.log('Example 192');",Auto-generated snippet 192 demonstrating how to perform HTTP POST in JavaScript
193,Clojure,"// Example 193: sort a list in Clojure
// code placeholder",Auto-generated snippet 193 demonstrating how to sort a list in Clojure
194,SQL,"// Example 194: define a function in SQL
// code placeholder",Auto-generated snippet 194 demonstrating how to define a function in SQL
195,Swift,"// Example 195: send HTTP request
print(""Example 195"")",Auto-generated snippet 195 demonstrating how to send HTTP request in Swift
196,MATLAB,"// Example 196: send HTTP request in MATLAB
// code placeholder",Auto-generated snippet 196 demonstrating how to send HTTP request in MATLAB
197,Haskell,"// Example 197: serialize to XML in Haskell
// code placeholder",Auto-generated snippet 197 demonstrating how to serialize to XML in Haskell
198,Scala,"// Example 198: sort a list in Scala
// code placeholder",Auto-generated snippet 198 demonstrating how to sort a list in Scala
199,Dockerfile,"// Example 199: write to a file in Dockerfile
// code placeholder",Auto-generated snippet 199 demonstrating how to write to a file in Dockerfile
200,CSS,"// Example 200: connect to a database in CSS
// code placeholder",Auto-generated snippet 200 demonstrating how to connect to a database in CSS
201,CSS,"// Example 201: generate random numbers in CSS
// code placeholder",Auto-generated snippet 201 demonstrating how to generate random numbers in CSS
202,Clojure,"// Example 202: log an error in Clojure
// code placeholder",Auto-generated snippet 202 demonstrating how to log an error in Clojure
203,Bash,"// Example 203: compute factorial in Bash
// code placeholder",Auto-generated snippet 203 demonstrating how to compute factorial in Bash
204,C++,"// Example 204: compute factorial
std::cout << ""Example 204"" << std::endl;",Auto-generated snippet 204 demonstrating how to compute factorial in C++
205,PHP,"<?php
// Example 205: convert a type
echo 'Example 205';
?>",Auto-generated snippet 205 demonstrating how to convert a type in PHP
206,MATLAB,"// Example 206: perform HTTP POST in MATLAB
// code placeholder",Auto-generated snippet 206 demonstrating how to perform HTTP POST in MATLAB
207,Clojure,"// Example 207: parse JSON in Clojure
// code placeholder",Auto-generated snippet 207 demonstrating how to parse JSON in Clojure
208,Go,"// Example 208: define a function
fmt.Println(""Example 208"")",Auto-generated snippet 208 demonstrating how to define a function in Go
209,Julia,"// Example 209: format a string in Julia
// code placeholder",Auto-generated snippet 209 demonstrating how to format a string in Julia
210,PowerShell,"// Example 210: create an array in PowerShell
// code placeholder",Auto-generated snippet 210 demonstrating how to create an array in PowerShell
211,Elixir,"// Example 211: send HTTP request in Elixir
// code placeholder",Auto-generated snippet 211 demonstrating how to send HTTP request in Elixir
212,Dockerfile,"// Example 212: define a function in Dockerfile
// code placeholder",Auto-generated snippet 212 demonstrating how to define a function in Dockerfile
213,Dockerfile,"// Example 213: generate random numbers in Dockerfile
// code placeholder",Auto-generated snippet 213 demonstrating how to generate random numbers in Dockerfile
214,Lua,"// Example 214: render HTML in Lua
// code placeholder",Auto-generated snippet 214 demonstrating how to render HTML in Lua
215,SQL,"// Example 215: perform HTTP POST in SQL
// code placeholder",Auto-generated snippet 215 demonstrating how to perform HTTP POST in SQL
216,Haskell,"// Example 216: create an array in Haskell
// code placeholder",Auto-generated snippet 216 demonstrating how to create an array in Haskell
217,CSS,"// Example 217: create an array in CSS
// code placeholder",Auto-generated snippet 217 demonstrating how to create an array in CSS
218,Java,"// Example 218: connect to a database
System.out.println(""Example 218"");",Auto-generated snippet 218 demonstrating how to connect to a database in Java
219,CSS,"// Example 219: create an array in CSS
// code placeholder",Auto-generated snippet 219 demonstrating how to create an array in CSS
220,Python,"# Example 220: connect to a database
print('Example 220')",Auto-generated snippet 220 demonstrating how to connect to a database in Python
221,MATLAB,"// Example 221: read a file in MATLAB
// code placeholder",Auto-generated snippet 221 demonstrating how to read a file in MATLAB
222,SQL,"// Example 222: use recursion in SQL
// code placeholder",Auto-generated snippet 222 demonstrating how to use recursion in SQL
223,HTML,"// Example 223: read a file in HTML
// code placeholder",Auto-generated snippet 223 demonstrating how to read a file in HTML
224,JavaScript,"// Example 224: send HTTP request
console.log('Example 224');",Auto-generated snippet 224 demonstrating how to send HTTP request in JavaScript
225,C,"/* Example 225: perform HTTP POST */
printf(""Example 225\n"");",Auto-generated snippet 225 demonstrating how to perform HTTP POST in C
226,C++,"// Example 226: render HTML
std::cout << ""Example 226"" << std::endl;",Auto-generated snippet 226 demonstrating how to render HTML in C++
227,CSS,"// Example 227: log an error in CSS
// code placeholder",Auto-generated snippet 227 demonstrating how to log an error in CSS
228,Clojure,"// Example 228: convert a type in Clojure
// code placeholder",Auto-generated snippet 228 demonstrating how to convert a type in Clojure
229,Lua,"// Example 229: read a file in Lua
// code placeholder",Auto-generated snippet 229 demonstrating how to read a file in Lua
230,Rust,"// Example 230: sort a list
println!(""Example 230"");",Auto-generated snippet 230 demonstrating how to sort a list in Rust
231,PHP,"<?php
// Example 231: send HTTP request
echo 'Example 231';
?>",Auto-generated snippet 231 demonstrating how to send HTTP request in PHP
232,Elixir,"// Example 232: write to a file in Elixir
// code placeholder",Auto-generated snippet 232 demonstrating how to write to a file in Elixir
233,PHP,"<?php
// Example 233: format a string
echo 'Example 233';
?>",Auto-generated snippet 233 demonstrating how to format a string in PHP
234,Perl,"// Example 234: perform HTTP POST in Perl
// code placeholder",Auto-generated snippet 234 demonstrating how to perform HTTP POST in Perl
235,Elixir,"// Example 235: iterate over a list in Elixir
// code placeholder",Auto-generated snippet 235 demonstrating how to iterate over a list in Elixir
